상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,PNU코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
25998493,BBQ치킨,한일타운점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41111,수원시 장안구,4111159100,송죽동,4111113500,송죽동,4111113500100730000,1,대지,73,,경기도 수원시 장안구 송죽동 73,411114322042,경기도 수원시 장안구 경수대로994번길,49,,4111113500100730000046721,현광프라자,경기도 수원시 장안구 경수대로994번길 49,440800,16298,,,,127.004474463001,37.3075689667655
25998494,BBQ비비큐,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41465,용인시 수지구,4146559000,성복동,4146510600,성복동,4146510600107460001,1,대지,746,1,경기도 용인시 수지구 성복동 746-1,414654415193,경기도 용인시 수지구 성복2로76번길,25,32,4146510600107460001028148,동원,경기도 용인시 수지구 성복2로76번길 25-32,448832,16848,,1,,127.079229539035,37.3151396149455
25998514,BBQ치킨,펀앤정양주장흥점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41630,양주시,4163034000,장흥면,4163034023,장흥면,4163034023104910000,1,대지,491,,경기도 양주시 장흥면 부곡리 491,416303212001,경기도 양주시 장흥면 가마골로,40,8,4163034023104910000048363,우남송추마을아파트,경기도 양주시 장흥면 가마골로 40-8,482912,11521,,,,126.976250304584,37.7216034896779
25998540,BHC치킨,구리인창점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41310,구리시,4131053000,인창동,4131010300,인창동,4131010300103090006,1,대지,309,6,경기도 구리시 인창동 309-6,413103012037,경기도 구리시 동구릉로,64,,4131010300103090006002156,인창E-편한세상아파트,경기도 구리시 동구릉로 64,471833,11920,101,,,127.134814356868,37.6056308367934
25998542,BHC치킨교동택지점,교동택지점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42150,강릉시,4215055000,교1동,4215011000,교동,4215011000118060012,1,대지,1806,12,강원도 강릉시 교동 1806-12,421504460992,강원도 강릉시 하슬라로232번길,25,7,4215011000118060012000001,,강원도 강릉시 하슬라로232번길 25-7,210100,25508,1,1,,128.878601513026,37.7710244260291
25998589,BBQ치킨,형곡1동점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,47,경상북도,47190,구미시,4719058200,형곡1동,4719010900,형곡동,4719010900101430001,1,대지,143,1,경상북도 구미시 형곡동 143-1,471903308004,경상북도 구미시 경은로,100,,4719010900101430001026424,반석드림파크,경상북도 구미시 경은로 100,730040,39294,,,,128.337770176585,36.1145283333799
25998619,BBQ치킨울산야음점,울산야음점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,31,울산광역시,31140,남구,3114054000,신정4동,3114010400,신정동,3114010400108590036,1,대지,859,36,울산광역시 남구 신정동 859-36,311404310808,울산광역시 남구 중앙로48번길,5,,3114010400108590036030260,,울산광역시 남구 중앙로48번길 5,680010,44748,,1,,129.317999844586,35.5262107025978
25998631,BHC치킨단관점,단관점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42130,원주시,4213055000,단구동,4213010700,단구동,4213010700115170003,1,대지,1517,3,강원도 원주시 단구동 1517-3,421303219011,강원도 원주시 남원로,494,,4213010700115170003017517,원주구곡청솔7차아파트,강원도 원주시 남원로 494,220741,26484,,1,,127.947232455016,37.3276671351741
25998847,BHC비어존,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,50,제주특별자치도,50110,제주시,5011066000,노형동,5011012200,노형동,5011012200109330011,1,대지,933,11,제주특별자치도 제주시 노형동 933-11,501104848499,제주특별자치도 제주시 원노형남1길,23,,5011012200109330011061502,,제주특별자치도 제주시 원노형남1길 23,690802,63082,,1,,126.483032552806,33.4841034969172
25998901,BHC치킨,파주문산점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,41,경기도,41480,파주시,4148025000,문산읍,4148025022,문산읍,4148025022109350000,1,대지,935,,경기도 파주시 문산읍 당동리 935,414803206035,경기도 파주시 문산읍 방촌로,1744,,4148025022109350000000005,파주힐스테이트1차아파트,경기도 파주시 문산읍 방촌로 1744,413798,10815,A,,,126.786237529415,37.8683469396626
25998964,BHC치킨신남점,신남점,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,42,강원도,42810,인제군,4281031000,남면,4281031021,남면,4281031021103970012,1,대지,397,12,강원도 인제군 남면 신남리 397-12,428103233016,강원도 인제군 남면 신남로,53,,4281031021003970012004355,,강원도 인제군 남면 신남로 53,252815,24648,,1,,128.079325180781,37.9678055459131
